START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
7/17/2015,10:05 PM,10:05 PM,Angels,Angel Stadium of Anaheim,7/18/2015,7/18/2015,1:05 AM,1:05 AM
7/18/2015,9:05 PM,9:05 PM,Angels,Angel Stadium of Anaheim,7/19/2015,7/19/2015,12:05 AM,12:05 AM
7/19/2015,3:33 AM,3:33 AM,Angels,Angel Stadium of Anaheim,7/19/2015,7/19/2015,6:33 AM,6:33 AM
7/20/2015,10:05 PM,10:05 PM,Angels,Angel Stadium of Anaheim,7/21/2015,7/21/2015,1:05 AM,1:05 AM
7/21/2015,3:33 AM,3:33 AM,Astros,Minute Maid Park,7/21/2015,7/21/2015,6:33 AM,6:33 AM
7/22/2015,3:33 AM,3:33 AM,Astros,Minute Maid Park,7/22/2015,7/22/2015,6:33 AM,6:33 AM
7/23/2015,3:33 AM,3:33 AM,Astros,Minute Maid Park,7/23/2015,7/23/2015,6:33 AM,6:33 AM
7/24/2015,7:10 PM,7:10 PM,Tigers,Fenway Park,7/24/2015,7/24/2015,10:10 PM,10:10 PM
7/25/2015,3:33 AM,3:33 AM,Tigers,Fenway Park,7/25/2015,7/25/2015,6:33 AM,6:33 AM
7/26/2015,3:33 AM,3:33 AM,Tigers,Fenway Park,7/26/2015,7/26/2015,6:33 AM,6:33 AM
7/27/2015,7:10 PM,7:10 PM,White Sox,Fenway Park,7/27/2015,7/27/2015,10:10 PM,10:10 PM
7/28/2015,7:10 PM,7:10 PM,White Sox,Fenway Park,7/28/2015,7/28/2015,10:10 PM,10:10 PM
7/29/2015,7:10 PM,7:10 PM,White Sox,Fenway Park,7/29/2015,7/29/2015,10:10 PM,10:10 PM
7/30/2015,7:10 PM,7:10 PM,White Sox,Fenway Park,7/30/2015,7/30/2015,10:10 PM,10:10 PM
7/31/2015,7:10 PM,7:10 PM,Rays,Fenway Park,7/31/2015,7/31/2015,10:10 PM,10:10 PM
8/1/2015,3:33 AM,3:33 AM,Rays,Fenway Park,8/1/2015,8/1/2015,6:33 AM,6:33 AM
8/2/2015,3:33 AM,3:33 AM,Rays,Fenway Park,8/2/2015,8/2/2015,6:33 AM,6:33 AM
8/4/2015,7:05 PM,7:05 PM,Yankees,Yankee Stadium,8/4/2015,8/4/2015,10:05 PM,10:05 PM
8/5/2015,7:05 PM,7:05 PM,Yankees,Yankee Stadium,8/5/2015,8/5/2015,10:05 PM,10:05 PM
8/6/2015,7:05 PM,7:05 PM,Yankees,Yankee Stadium,8/6/2015,8/6/2015,10:05 PM,10:05 PM
8/7/2015,7:08 PM,7:08 PM,Tigers,Comerica Park,8/7/2015,8/7/2015,10:08 PM,10:08 PM
8/8/2015,7:08 PM,7:08 PM,Tigers,Comerica Park,8/8/2015,8/8/2015,10:08 PM,10:08 PM
