START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
9/10/2015,3:33 AM,3:33 AM,Tigers,Progressive Field,9/10/2015,9/10/2015,6:33 AM,6:33 AM
9/11/2015,3:33 AM,3:33 AM,Tigers,Progressive Field,9/11/2015,9/11/2015,6:33 AM,6:33 AM
9/12/2015,3:33 AM,3:33 AM,Tigers,Progressive Field,9/12/2015,9/12/2015,6:33 AM,6:33 AM
9/13/2015,3:33 AM,3:33 AM,Tigers,Progressive Field,9/13/2015,9/13/2015,6:33 AM,6:33 AM
9/14/2015,3:33 AM,3:33 AM,Royals,Progressive Field,9/14/2015,9/14/2015,6:33 AM,6:33 AM
9/15/2015,3:33 AM,3:33 AM,Royals,Progressive Field,9/15/2015,9/15/2015,6:33 AM,6:33 AM
9/16/2015,3:33 AM,3:33 AM,Royals,Progressive Field,9/16/2015,9/16/2015,6:33 AM,6:33 AM
9/17/2015,3:33 AM,3:33 AM,Royals,Progressive Field,9/17/2015,9/17/2015,6:33 AM,6:33 AM
9/18/2015,3:33 AM,3:33 AM,White Sox,Progressive Field,9/18/2015,9/18/2015,6:33 AM,6:33 AM
9/19/2015,3:33 AM,3:33 AM,White Sox,Progressive Field,9/19/2015,9/19/2015,6:33 AM,6:33 AM
9/20/2015,3:33 AM,3:33 AM,White Sox,Progressive Field,9/20/2015,9/20/2015,6:33 AM,6:33 AM
9/22/2015,8:10 PM,8:10 PM,Twins,Target Field,9/22/2015,9/22/2015,11:10 PM,11:10 PM
9/23/2015,8:10 PM,8:10 PM,Twins,Target Field,9/23/2015,9/23/2015,11:10 PM,11:10 PM
9/24/2015,8:10 PM,8:10 PM,Twins,Target Field,9/24/2015,9/24/2015,11:10 PM,11:10 PM
9/25/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,9/25/2015,9/25/2015,6:33 AM,6:33 AM
9/26/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,9/26/2015,9/26/2015,6:33 AM,6:33 AM
9/27/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,9/27/2015,9/27/2015,6:33 AM,6:33 AM
9/28/2015,3:33 AM,3:33 AM,Twins,Progressive Field,9/28/2015,9/28/2015,6:33 AM,6:33 AM
9/29/2015,3:33 AM,3:33 AM,Twins,Progressive Field,9/29/2015,9/29/2015,6:33 AM,6:33 AM
9/30/2015,3:33 AM,3:33 AM,Twins,Progressive Field,9/30/2015,9/30/2015,6:33 AM,6:33 AM
10/1/2015,3:33 AM,3:33 AM,Twins,Progressive Field,10/1/2015,10/1/2015,6:33 AM,6:33 AM
10/2/2015,3:33 AM,3:33 AM,Red Sox,Progressive Field,10/2/2015,10/2/2015,6:33 AM,6:33 AM
10/3/2015,3:33 AM,3:33 AM,Red Sox,Progressive Field,10/3/2015,10/3/2015,6:33 AM,6:33 AM
10/4/2015,3:33 AM,3:33 AM,Red Sox,Progressive Field,10/4/2015,10/4/2015,6:33 AM,6:33 AM
